"","local_date","local_time","site","sl","GRSH_fd","GRSH_fl","GRSH_si","GRSH_co","HUWH_fd","HUWH_sw","HUWH_ot","HUWH_co"
"159","10/22/2015","9:20","N16","0",0,0,0,6,0,0,0,0
"160","10/22/2015","9:42","N15","0",0,0,0,1,0,0,0,0
"161","10/22/2015","10:00","N14","0",0,0,0,12,0,0,0,0
"162","10/22/2015","10:21","N13","0",0,0,0,4,0,0,0,0
"163","10/22/2015","10:40","N12","0",0,0,0,3,0,0,0,0
"164","10/22/2015","11:00","N11","0",0,0,0,28,0,0,0,0
"165","10/22/2015","12:20","S19","0",0,0,0,200,0,0,0,9
"166","10/22/2015","nd","S20","4",0,0,0,0,0,0,0,0
"167","11/3/2015","nd","S21","0",0,0,0,0,0,0,0,0
"168","11/4/2015","9:25","N5","nd",0,0,0,2,0,0,0,0
"169","11/4/2015","10:13","N1","0",0,0,0,0,0,0,0,1
"170","11/4/2015","10:41","N3","0",0,0,0,1,0,0,0,0
"171","11/4/2015","11:08","N4","0",0,0,0,0,0,0,0,0
"172","11/4/2015","11:53","N6","0",0,0,0,1,0,0,0,1
"173","11/4/2015","12:11","N7","0",0,0,0,0,0,0,0,0
"174","11/4/2015","12:28","N10","0",0,0,0,0,0,0,0,0
"175","11/4/2015","nd","N9","0",0,0,0,0,0,0,0,0
"176","11/4/2015","13:06","N8","0",0,0,0,1,0,0,0,0
"177","11/4/2015","13:35","C1","0",0,0,0,3,0,0,0,0
"178","11/4/2015","13:50","C2","nd",0,0,0,1,0,0,0,0
"179","11/4/2015","14:05","C3","0",0,0,0,0,0,0,0,0
"180","11/4/2015","14:22","C4","0",0,0,0,3,0,0,0,0
"181","11/4/2015","14:40","C5","nd",0,0,0,7,0,0,0,0
"182","11/4/2015","14:57","C6","0",0,0,0,1,0,0,0,3
"183","11/4/2015","15:14","C7","17",0,0,0,1,0,0,0,0
"184","11/4/2015","15:32","C15","0",0,0,0,3,0,0,0,0
"185","11/4/2015","15:43","C16","0",0,0,0,0,0,0,0,0
"186","11/4/2015","15:54","C17","0",0,0,0,0,0,0,0,0
"187","11/4/2015","16:06","C18","0",0,0,0,1,0,0,0,1
"188","11/4/2015","16:19","C19","0",0,0,0,0,0,0,0,4
"189","11/4/2015","16:30","C20","0",0,0,0,1,0,0,0,1
"190","11/4/2015","16:43","C21","22",0,0,0,0,0,0,0,1
